id_repartidor,rut
81,11217734-0
53,15059048-K
196,20668174-K
64,10213096-K
172,14962795-0
100,18418059-K
177,20281794-0
123,13054205-0
0,18448563-0
152,18021233-K
84,20318433-K
6,17213693-0
31,17135716-K
58,16628766-0
99,13033767-0
1,20706645-0
187,19192150-0
52,12551974-0
181,16013570-0
30,20577102-K
167,10163359-K
74,20228778-K
95,11804553-K
175,20164929-K
15,20521906-K
10,10981173-0
22,11508631-0
29,18060573-K
101,14298593-0
93,16957115-K
185,11363826-K
72,16883080-K
147,17969074-0
103,14985078-K
80,11753467-0
151,17616693-K
183,13346144-0
70,11330432-K
195,13135342-K
112,18054836-K
117,12632252-K
86,12793454-0
50,14626410-K
179,20499467-0
85,13723653-K
153,19790690-0
73,17971332-0
14,12463588-0
126,16191310-K
34,19080740-K
114,13820416-K
75,15526099-0
82,16112400-K
13,13561850-0
54,13181605-K
96,16227539-0
163,17372407-K
97,15610748-0
27,12301239-K
33,10342365-0
25,19362754-0
169,15959052-0
128,17708566-K
173,14254433-0
102,16088288-0
120,14853771-0
159,20903290-0
198,19454980-0
139,11209457-K
94,13746733-K
108,11910446-0
76,16206419-0
65,13467840-0
92,17733081-K
43,14487791-0
68,20899647-0
87,12994574-K
20,17926121-K
131,10820147-0
44,14929616-K
69,11679145-K
71,10499155-K
83,14102370-0
133,16643290-0
194,14560939-K
155,19678452-K
3,18651397-K
178,10689575-0
199,16208374-K
136,10403629-0
190,12635205-K
192,11364163-0
26,19999891-K
160,13969208-K
62,13494505-K
176,15594603-K
182,14285737-K
18,12597687-0
141,13607290-K
180,11615785-K
154,14608424-0
107,11274653-K
55,10714501-K
49,11644111-K
48,13500123-K
193,11332168-K
40,14998337-K
111,20451927-0
157,18078864-K
56,19595696-0
158,16983387-K
129,20387856-0
186,12631350-0
168,13902261-0
135,14951441-0
60,14308679-0
12,13845243-0
116,13584718-K
119,18317547-K
16,17392496-0
144,11458597-K
156,18712138-K
174,11227742-K
138,17904957-0
113,18672554-0
150,12132356-0
130,15784508-0
37,18109395-0
35,14018742-0
